INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-21932012,8700002457,25-Sep-19,5416.36,30-Apr-20,Paid,SAR,
ISI-22030914,8700002696,21-Apr-20,98771.4,30-Jun-20,Paid,SAR,
ISI-22030855,8700002696,14-Apr-20,41491.72,30-Jun-20,Paid,SAR,
ISI-22030867,8700002696,15-Apr-20,36019.2,30-Jun-20,Paid,SAR,
MSI-22030007,8100017851,31-Jan-20,3150,20-May-20,Paid,SAR,
ISI-22030929,8700002696,22-Apr-20,32974.45,30-Jun-20,Paid,SAR,
ISI-22030996,8700002696,27-Apr-20,23961.21,30-Jun-20,Paid,SAR,
ISI-22030961,8700002696,26-Apr-20,98771.4,30-Jun-20,Paid,SAR,
ISI-22030936,8700002696,22-Apr-20,28325.72,30-Jun-20,Paid,SAR,
ISI-22030953,8700002696,26-Apr-20,54507.18,30-Jun-20,Paid,SAR,
ISI-22030938,8700002696,22-Apr-20,34237.23,30-Jun-20,Paid,SAR,
ISI-22030939,8700002696,22-Apr-20,28365.12,30-Jun-20,Paid,SAR,
MSI-22030029,4502185163,29-Apr-20,3150,30-Jun-20,Paid,SAR,
ISI-21932898,,30-Dec-19,29104.44,20-May-20,Paid,SAR,
ICN-22030022,,30-Mar-20,-637.32,20-May-20,Paid,SAR,
ISI-21932895,,30-Dec-19,137232.9,4-Jun-20,Paid,SAR,
ICN-22030020,,30-Mar-20,-3005.1,4-Jun-20,Paid,SAR,
ISI-20200032,,8-Jan-20,21915.54,4-Jun-20,Paid,SAR,
ICN-22030027,,30-Mar-20,-479.9,4-Jun-20,Paid,SAR,
ISI-22031090,8700002696,14-May-20,29055.96,28-Jul-20,Paid,SAR,
ISI-22031088,8700002696,14-May-20,35907.34,28-Jul-20,Paid,SAR,
ISI-22031091,8700002696,14-May-20,35609.06,28-Jul-20,Paid,SAR,
ISI-22031063,3500001504,7-May-20,13604.54,28-Jul-20,Paid,SAR,
ISI-22031089,8700002696,14-May-20,29423.89,28-Jul-20,Paid,SAR,
ISI-22030006,,12-Jan-20,37383.02,18-Jun-20,Paid,SAR,
ICN-22030029,,30-Mar-20,-818.61,18-Jun-20,Paid,SAR,
ISI-22030005,,12-Jan-20,123423.3,18-Jun-20,Paid,SAR,
ICN-22030028,,28-Apr-20,-2702.7,18-Jun-20,Paid,SAR,
ISI-22031161,8700002696,28-May-20,197542.8,28-Jul-20,Paid,SAR,
ISI-22031160,8700002696,28-May-20,29265.6,28-Jul-20,Paid,SAR,
ISI-22031162,8700002696,28-May-20,22742.75,28-Jul-20,Paid,SAR,
ISI-22031167,8700002696,28-May-20,39590.17,28-Jul-20,Paid,SAR,
ISI-22031032,8700002696,30-Apr-20,23412.48,30-Jun-20,Paid,SAR,
MSI-22030034,4502236277,31-May-20,11340,28-Jul-20,Paid,SAR,
ISI-22031201,8700002696,31-May-20,21864.78,28-Jul-20,Paid,SAR,
ISI-22030937,8700002696,22-Apr-20,26991.18,30-Jun-20,Paid,SAR,
ISI-22031249,8700002696,31-May-20,14207.18,28-Jul-20,Paid,SAR,
ISI-22031202,8700002696,31-May-20,28380.6,28-Jul-20,Paid,SAR,
ISI-21932893,8700002611,30-Dec-19,43946.17,16-Jul-20,Paid,SAR,
ICN-22030021,,30-Mar-20,-962.33,16-Jul-20,Paid,SAR,
ISI-22031464,8700002735,27-Jun-20,42754.5,29-Aug-20,Post,SAR,
ISI-22031463,8700002745,27-Jun-20,43404.54,29-Aug-20,Post,SAR,
ISI-22031466,8700002696,27-Jun-20,28829.43,29-Aug-20,Post,SAR,
ISI-22031487,8700002696,29-Jun-20,87796.8,29-Aug-20,Post,SAR,
ISI-22031102,8700002696,14-May-20,43898.4,28-Jul-20,Paid,SAR,
ISI-22031312,8700002696,14-Jun-20,23598.2,29-Aug-20,Post,SAR,
ISI-22031367,8700002696,18-Jun-20,28280.7,29-Aug-20,Post,SAR,
ISI-22031310,8700002735,14-Jun-20,41574.04,29-Aug-20,Post,SAR,
ISI-22031311,8700002745,14-Jun-20,37707.6,29-Aug-20,Post,SAR,
ISI-22031313,8700002696,14-Jun-20,14689.08,29-Aug-20,Post,SAR,
ISI-22031309,8700002696,14-Jun-20,36227.44,29-Aug-20,Post,SAR,
ISI-22031366,8700002696,18-Jun-20,42800.94,29-Aug-20,Post,SAR,
ISI-21932894,,30-Dec-19,43206.78,20-Jan-20,Post,SAR,
ICN-22030025,,30-Mar-20,-946.13,20-Apr-20,Post,SAR,
ISI-22031532,8700002751,30-Jun-20,34915.41,29-Aug-20,Post,SAR,
ISI-22031518,8700002751,30-Jun-20,42395.71,29-Aug-20,Post,SAR,
ISI-22031517,8700002751,30-Jun-20,41740.07,29-Aug-20,Post,SAR,
ISI-22031507,8700002696,29-Jun-20,14400.65,29-Aug-20,Post,SAR,
ISI-22031647,8700002751,16-Jul-20,47256.29,29-Sep-20,Post,SAR,
ISI-22031519,8700002751,30-Jun-20,48378.29,29-Aug-20,Post,SAR,
